barcode;cosmetics;ingredients
34826815;Wet n Wild Velvet Matte Lip Color;C12-15 Alkyl Ethylhexanoate, Methyl Methacrylate Crosspolymer, Silica, Phenyl Trimethicone, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Isononyl Isononanoate, Hydrogenated Coconut Oil, Hydrogenated Coco-Glycerides, Cetyl Ethylhexanoate, Polyethylene, Synthetic Wax, Phytosteryl Macadamiate, Cyclomethicone, Phenoxyethanol, Sorbic Acid, Tocopheryl Acetate, Disteardimonium Hectorite, Tocopherol, Propylene Carbonate, [+/-(MAY CONTAIN/PEUT CONTENIR): Blue 1 Lake/CI 42090, Carmine/CI 75470, Iron Oxides/CI 77491, CI 77492, CI 77499, Mica, Red 28 Lake/CI 45410, Red 30 Lake/CI 73360, Red 7 Lake/CI 15850, Titanium Dioxide/CI 77891, Yellow 5 Lake/CI 19140]
21098498;Buy Lakme Complexion Care Color Transform Face Cream - Bronze;Water, Color changing beads, UVA & UVB Sunscreens
13138895;NYX Professional Makeup Lip Lingerie Shimmer;Hydrogenated Polyisobutene, Polybutene, Diisostearyl Malate, Silica Silylate, Calcium Aluminum Borosilicate, Fragrance/parfum, Tin Oxide, Calcium Sodium Borosilicate, Calcium Titanium Borosilicate, Glycerin, Silica, Alumina, Aluminum Hydroxide, Caprylyl Glycol, Tocopheryl Acetate, Phenoxyethanol, Eugenol, Hydroxycitronellal, Benzyl Alcohol, Benzyl Salicylate. May Contain / Peut Contenir (+/-): Red 30 Lake (Ci 73360), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891), Mica.
58622582;Wet n Wild Megalast Liquid Catsuit Metallic Lipstick;Isododecane, C10-18 Triglycerides, Alumina, Diisostearyl Malate, Cyclopentasiloxane, Quaternium-90 Bentonite, Methoxy PEG-17/Methoxy PEG-11/HDI Isocyanurate Trimer Crosspolymer, Oleic/Linoleic/Linolenic Polyglycerides, Dimethicone/Vinyl Dimethicone Crosspolymer, Silica Dimethyl Silyate, Silica, Synthetic Wax, Polyethylene, Propylene Carbonate, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Phytosteryl Macadamiate, Phenoxyethanol, Sorbic Acid, Methyl Methacrylate Crosspolymer, Tocopheryl Acetate, Tocopherol, Glycine Soja (Soybean) Oil, Tin Oxide, Carmine/CI 75470, Iron Oxides/CI 77491, CI 77492, CI 77499, Mica, Red 28 Lake/CI 45410, Titanium Dioxide/CI 77891.
71878170;NYX Professional Makeup Holographic Halo Cream Eyeliner;Isododecane, Phenyl Trimethicone, Trimethylsiloxysilicate, Polyethylene, Calcium Sodium Borosilicate, Ozokerite, Synthetic Fluorphlogopite, Cera Microcristallina / Hydrogenated Microcrystalline Wax, Silica, Tin Oxide, Alumina, Aluminum Hydroxide, Propylene Carbonate, Disteardimonium Hectorite, Ethylhexylglycerin, BHT, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phenoxyethanol. MAY CONTAIN / PEUT CONTENIR (+/-): Carmine (CI 75470), Ultramarines (CI 77007), Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Mica, Yellow 5 Lake (CI 19140), Blue 1 Lake (CI 42090). <6094> Not for use on waterline.
88378279;Colorbar Sheer Touch Mattifying Loose Powder - White Trans;Talc, Aluminum Starch Octenylsuccinate, Polymethyl Methacrylate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Mattifying Loose Powder, Spherical Powders, Vitamin E
45611020;Colorbar Ever Sharp Lip Liner;Mica, Red 7 Lake, Yellow 5 Lake, Red 6, Iron Oxides, Red 7, Isododecane, Synthetic Wax, Bis-diglyceryl Polyacyladipate-2, Polybutene, Ethylene/propylene Copolymer, Pentaerythrityl Tetraisostearate, Perfluorononyl Dimethicone, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Polyethylene,
12529212;NYX Professional Makeup Away We Glow Liquid Booster;Isododecane, Hydrogenated Polydecene, Silica Dimethyl Silylate [nano] / Silica, Imethyl Silylate, Tin Oxide, Silica, Propylene Carbonate, Synthetic Fluorphlogopite, Disteardimonium Hectorite, Ethylene/propylene/styrene Copolymer, Ethylhexylglycerin, Butylene/ethylene/styrene Copolymer, Bht, Phenoxyethanol. May Contain / Peut Contenir (+/-): Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Mica. <6095>
55271332;Colorbar Ultimate Nail Enamel Remover - Orange Chocolate;Ethyl Acetate, Isopropyl Alcohol, Di Water, Glycerin, D-panthenol, Tocopheryl Acetate, Citric Acid, Potassium Sorbate, Sodium Benzoate, Perfume, Sodium Peg-7 Olive Oil Carboxylate, Propylene Glycol, Approved Colors
89194710;NYX Professional Makeup Shimmer Down Lip Veil;"Mineral Oil/paraffinum Liquidum/huile Min"",""can_try_type"":"""",""meta_description"":""NYX Professional Makeup Shimmer Down Lip Veil Online From Nykaa.com at Best Price"",""qna_count"":0,""tags"":[],""seller_name"":"""",""in_stock"":true,""variant_id"":null,""variants"":null,""parent_id"":""418453"",""title"":""NYX Professional Makeup Shimmer Down Lip Veil"",""category_levels"":{""12"":""0"",""15"":""1"",""250"":""2""},""is_service"":false,""backorders"":false,""featured_in_titles"":null,""sku"":""NYX_SDLVLG"",""featured_in_urls"":null,""vendor_sku"":"""",""disabled"":null,""catalog_tag"":null,""variant_type"":""shade"",""psku"":""NYX_SDLVLG"",""expdt"":"""",""is_saleable"":true,""can_subscribe"":false,""add_to_cart_url"":"""",""star_rating_percentage"":50,""slug"":""nyx-professional-makeup-shimmer-down-lip-veil/p/418453"",""discount"":0,""how_to_use"":""<ul><li>Prep your lips with primer.<br></li><li>Using a lip pen, define the contours of the lips.<br></li><li>Apply the desired lipstick on your lips before applying the shimmer shine.<br></li><li>Apply the glow on the face with an applicator and spread it evenly.</ul></li>"",""review_splitup"":{""0"":{""count"":""1"",""per"":50,""star"":1},""1"":{""count"":"""",""per"":0,""star"":2},""2"":{""count"":"""",""per"":0,""star"":3},""3"":{""count"":""1"",""per"":50,""star"":4},""4"":{""count"":"""",""per"":0,""star"":5},""aggregated"":2.5,""total_count"":2},""review_count"":""1"",""top_reviews"":[{""created_at"":""2019-02-12 14:46:56"",""detail"":""It's a non sticky sheer gloss without any fragrance and pretty comfortable on lips. \r\n1.sugar mama is a fuschia gloss with blue glitter. \r\n2.young star is a barbie pink glitter. \r\n3.plummin is a nude gloss with golden glitter. \r\n4.what a punk is brown gloss with golden n green glitter."",""likes"":""1"",""nickname"":""sushama"",""rating"":""4"",""review_id"":""4270118"",""title"":""Glittery affair""}],""offers"":[{""catalog_tag"":"""",""description"":""Buy Makeup worth Rs999 &get Soft Matte Lip Cream free"",""id"":"""",""name"":""NYX Professional Makeup Offer"",""offer_end_date"":"""",""offer_start_date"":"""",""priority"":""""}],""options"":[{""add_to_cart_url"":""https://www.nykaa.com/ajaxaddcart/index/add/product/418452/isAjax/1"",""backorders"":false,""brand_ids"":""2347"",""brand_name"":[""NYX Professional Makeup""],""bucket_discount_percent"":null,""bulkbuyer_max_allowed_qty"":null,""button_text"":""ADD TO BAG"",""can_subscribe"":false,""can_try"":false,""can_try_type"":"""",""category_ids"":""12,15,250,587,2347,3212,4560,9155,9156,9295"",""category_levels"":{""12"":""0"",""15"":""1"",""250"":""2""},""d_sku"":null,""description"":""<p>Envelop your lips in a halo of high shine and a flush of color using Shimmer Down Lip Veil. Super lightweight with lots of silky slip, this luxurious new lippie tops off your pout with shocking amounts of sheen and shimmer without ever feeling sticky. Swipe this pearly gloss over lipstick for color-shifting effects or onto bare lips for on-the-spot glam. Available in 12 sparkle-packed shades, glisten up in a variety of tones that range from sheer to full coverage."
55841984;NYX Professional Makeup Away We Glow Strobe Cream;Isododecane, Hydrogenated Polydecene, Silica Dimethyl Silylate [nano] / Silica, Imethyl Silylate, Tin Oxide, Silica, Propylene Carbonate, Synthetic Fluorphlogopite, Disteardimonium Hectorite, Ethylene/propylene/styrene Copolymer, Ethylhexylglycerin, Butylene/ethylene/styrene Copolymer, Bht, Phenoxyethanol. May Contain / Peut Contenir (+/-): Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Mica. <6095>
57266931;The Face Shop Collagen Ampoule Lipstick;\n<br>Neopentyl glycol dicaprate, macadamia seed oil polyglyceryl-13 ester suvenate, triethanol hexanoate, diphenylsiloxy phenyl trimethicone
63020465;NYX Professional Makeup Lip Lingerie Gloss;Hydrogenated Polyisobutene, Polybutene, Diisostearyl Malate, Silica Silylate, Calcium Aluminum Borosilicate, Fragrance/parfum, Tin Oxide, Calcium Sodium Borosilicate, Calcium Titanium Borosilicate, Glycerin, Silica, Alumina, Aluminum Hydroxide, Caprylyl Glycol, Tocopheryl Acetate, Phenoxyethanol, Eugenol, Hydroxycitronellal, Benzyl Alcohol, Benzyl Salicylate. May Contain / Peut Contenir (+/-): Red 30 Lake (Ci 73360), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891), Mica.
72337082;Colorbar Mattillusion Blush;Talc, Mica, Caprylic/capric Triglyceride, Dimethiconol Stearate, Magnesium Myristate, Dimethicone, Trimethylsiloxysilicate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Aluminum Hydroxide, Ci 77891, Ci 77491, Ci 77492, Ci 77499, Ci 77499, Ci 77499, Ci 77499.
26502837;Wet n Wild Photo Focus Eyeshadow Primer - Only A Matter Of Prime;Isododecane, Talc, Cyclopentasiloxane, Trimethylsiloxysilicate, Disteardimonium Hectorite, Polyethylene, VP/Eicosene Copolymer, Boron Nitride, Aluminum Starch Octenylsuccinate, Propylene Carbonate, Sorbitan Sesquioleate, Synthetic Beeswax, Pentaerythrityl Tetraisostearate, Methicone, Phenoxyethanol, Acrylates Copolymer, Magnesium Carbonate, Dimethicone Crosspolymer, Bisabolol, Sorbic Acid, Octyldodecyl Stearoyl Stearate, Caprylic/Capric Triglyceride, Dimethicone/Vinyl Dimethicone Crosspolymer, Crithmum Maritimum Extract, Dimethiconol, Nelumbo Nucifera Stamen Extract, Bismuth Oxychloride/CI 77163, Iron Oxides/CI 77491, CI 77492, CI 77499, Titanium Dioxide/CI 77891
59134408;Wet n Wild Color Icon Lip Gloss;Polybutene, Caprylic/Capric Triglyceride, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Bis-Diglyceryl Polyacyladipate-2, Oleic/Linoleic/Linolenic Polyglycerides, Hydrogenated Polydecene, Quaternium-90 Bentonite, Hydrogenated Coco-glycerides, Silica Dimethyl Silylate, Hydrogenated Styrene/Methyl Styrene/Indene Copolymer, Methoxy PEG-17/Methoxy PEG-11/HDI Isocyanurate Trimer Crosspolymer, Butyrospermum Parkii (Shea) Butter, Propylene Carbonate, Astrocaryum Murumuru Seed Butter, Phytosteryl Oleate, Phenoxyethanol, Sorbic Acid, Tocopheryl Acetate, Tocopherol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Glycine Soja (Soybean) Oil, Calcium Aluminum Borosilicate (in 36250), [+/- (MAY CONTAIN): Titanium Dioxide/CI 77891, Yellow 5 Lake/CI 19140, Yellow 6 Lake/CI 15985, Blue 1 Lake/CI 42090, Iron Oxides/CI 77491, CI 77492, CI 77499, Red 7 Lake/CI 15850].
76894424;Colorbar Ultimate Nail Enamel Remover Acetone Free;Ethyl Acetate, Isopropyl Alcohol, Di Water, Glycerin, D-panthenol, Tocopheryl Acetate, Citric Acid, Potassium Sorbate, Sodium Benzoate, Perfume, Sodium Peg-7 Olive Oil Carboxylate, Propylene Glycol, Approved Colors
72808090;Colorbar Timeless Filling And Lifting Foundation;Talc, Polyethylene, Mica, Dimethicone, Nylon-12, Isostearyl Neopentanoate, Ptfe, Polybutene, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Isopropyl Isostearate, Lauroyl Lysine, Tocopherol, Lecithin, Ascorbyl Palmitate, Glyceryl Stearate, Glyceryl Oleate, Citric Acid, Ethylhexyl Methoxycinnamate, Retinyl Palmitate, Caprylic/capric Triglyceride, Aqua, Ubiquinone, Benzyl Alcohol, Dehydroacetic Acid, Sodium Hyaluronate, Ci 77891 (Titanium Dioxide), Ci 77491 (Iron Oxides), Ci 77492 (Iron Oxides), Ci 77499 (Iron Oxides), Hyaluronic Acid, Sericites, Anti Oxidants
61289656;Colorbar Wonder Gel Nail Lacquer;Ethyl Acetate, Butyl Acetate, Nitrocellulose, Adipic Acid / Neopentyl Glycol / Trimellitic Anhydride Copolymer, Acetyl Tributyl Citrate, Isopropyl Alcohol, Isobutyl Acetate, Stearalkonium Bentonite, Sucrose Acetate Isobutyrate, Colored Solution & Pearls May Contain Titanium Dioxide, Red Iron Oxide, Ferric Ferrocyanide, Black Iron Oxide, Bismuth Oxychloride, D & C Red 34, Ca Lake, Fd&c Yellow 5, Al Lake, D & C Red 6, Ba Lake, D & C Red 7, Ca Lake, D&c Violet 2, Black 2.
47549316;The Face Shop Triple Eye Shadow;"Red iron oxide (CI 77491), magnesium myristate (CI 77492), magnesium stearate, magnesium stearate, stearyl stearate, stearyl stearyl stearate, dipentaerythritol hexa hydroxystearate / hexa stearate / hexa rosinate, octyldodecyl stearoyl stearate</p"",""can_try_type"":"""",""meta_description"":""Buy The Face Shop Triple Eye Shadow Online from Nykaa.com at Best Price."",""qna_count"":0,""tags"":[],""seller_name"":"""",""in_stock"":true,""variant_id"":null,""variants"":null,""parent_id"":""181585"",""title"":""The Face Shop Triple Eye Shadow"",""category_levels"":{""12"":""0"",""14"":""1"",""242"":""2"",""1448"":""1"",""1513"":""2""},""is_service"":false,""backorders"":false,""featured_in_titles"":null,""sku"":""TFC_TPLEY"",""featured_in_urls"":null,""vendor_sku"":"""",""disabled"":null,""catalog_tag"":null,""variant_type"":""shade"",""psku"":""TFC_TPLEY"",""expdt"":"""",""is_saleable"":true,""can_subscribe"":false,""add_to_cart_url"":"""",""star_rating_percentage"":85,""slug"":""the-face-shop-triple-eyes/p/181585"",""discount"":0,""how_to_use"":"""",""review_splitup"":{""0"":{""count"":"""",""per"":0,""star"":1},""1"":{""count"":"""",""per"":0,""star"":2},""2"":{""count"":""2"",""per"":11.111111111111,""star"":3},""3"":{""count"":""10"",""per"":55.555555555556,""star"":4},""4"":{""count"":""6"",""per"":33.333333333333,""star"":5},""aggregated"":4.3,""total_count"":18},""review_count"":""16"",""top_reviews"":[{""created_at"":""2017-08-25 07:59:06"",""detail"":""these eye shadows are super affordable and super buttery and really blendable, it's very convenient to use and you can take it anywhere. It has a nice mirror and very pigmented. The colour selection is good. It's a nice palette for beginners and also for people who travel alot, you can just put it in your purse and you are ready to go and it's actually better if you grab these eyeshadows when they are in discount this way you can actually get all the four colour."",""likes"":""4"",""nickname"":""Anjana Bilung"",""rating"":""5"",""review_id"":""884590"",""title"":""High Quality""},{""created_at"":""2018-05-29 01:13:13"",""detail"":""Oh my God! The best palette ever! This is so handy! The only pallets you need! Perfec middle shade for office and the first and last can be used for a perfect night party switch over. You don⫪t need another palette if you have this. "",""likes"":""0"",""nickname"":""aadyaa chauhan"",""rating"":""5"",""review_id"":""1978084"",""title"":""Super product ""},{""created_at"":""2017-12-20 15:01:50"",""detail"":""awesome shades, blends very well, it's truly a user friendly products."",""likes"":""0"",""nickname"":""Nidhi"",""rating"":""5"",""review_id"":""1233545"",""title"":""buy it""},{""created_at"":""2017-11-10 09:16:48"",""detail"":""Bought this eyeshadow pallette for my sister since there was a lot of buzz going about face shop brand. And it does its work and good for beginners to play along with colours."",""likes"":""0"",""nickname"":""Simmi"",""rating"":""5"",""review_id"":""1126120"",""title"":""Good for beginners""},{""created_at"":""2017-10-03 18:23:47"",""detail"":""all three shades are stunning and looks flawless on eyes perfect for every one worth buy."",""likes"":""0"",""nickname"":""Priya Gupta"",""rating"":""5"",""review_id"":""1011894"",""title"":""Extremely pigmented""}],""offers"":[{""catalog_tag"":"""",""description"":""Free shipping on all prepaid orders above INR 200. Not valid on Nykaa Fashion and wellness category. Please register or log in to avail the offer. Offer valid only for today."",""id"":"""",""name"":""Free Shipping"",""offer_end_date"":"""",""offer_start_date"":"""",""priority"":""""}],""options"":[{""add_to_cart_url"":""https://www.nykaa.com/ajaxaddcart/index/add/product/181581/isAjax/1"",""backorders"":false,""brand_ids"":""4290"",""brand_name"":[""The Face Shop""],""bucket_discount_percent"":null,""bulkbuyer_max_allowed_qty"":null,""button_text"":""ADD TO BAG"",""can_subscribe"":false,""can_try"":false,""can_try_type"":"""",""category_ids"":""12,14,242,587,713,1448,1513,1515,2291,2317,3383,3602,4290,4337,4623,4847,4937,5237,5329,5331,5669,6341,6462,6585,6961,7514,7648,7649,7768,7807,8013,8245,8345,8349,8554,8954,9130,9295"",""category_levels"":{""12"":""0"",""14"":""1"",""242"":""2"",""1448"":""1"",""1513"":""2""},""d_sku"":null,""description"":""<p>Triple Eyes by Face Shop is a single triple kit that offers a complete eye makeup solution. Eyeshadows in a powder form provide soft and silky touch with moisturizing texture. The powder coated with Lecithin boosts the adherence to the skin and make It'skin friendly, while the Silicone pigments decrease clumping effect due to flyaways and absorb sweat and sebum. Skin-caring make-up wonders? All hail K beauty!"
80684685;Buy Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color - Pink Plush;PVP/Hexadecene copolymer, Nylon powder, Cyclomethicon
43729660;NYX Professional Makeup Strictly Vinyl Lip Gloss;Polybutene, Caprylic/Capric Triglyceride, Diisostearyl Malate, Silica Silylate, Water/Aqua/Eau, Glycerin, Sodium Chloride, Alumina, Aluminum Benzoate, Aluminum Hydroxide, Ethylhexylglycerin, BHT, Tocopherol, Barium Sulfate (CI 77120), Phenoxyethanol. MAY CONTAIN / PEUT CONTENIR (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Blue 1 Lake (CI 42090), Manganese Violet (CI 77742), Red 7 (CI 15850), Red 28 Lake (CI 45410), Yellow 5 Lake (CI 19140).
85011416;NYX Professional Makeup Lip Lingerie Glitter;Hydrogenated Polyisobutene, Polybutene, Diisostearyl Malate, Silica Silylate, Calcium Aluminum Borosilicate, Fragrance/parfum, Tin Oxide, Calcium Sodium Borosilicate, Calcium Titanium Borosilicate, Glycerin, Silica, Alumina, Aluminum Hydroxide, Caprylyl Glycol, Tocopheryl Acetate, Phenoxyethanol, Eugenol, Hydroxycitronellal, Benzyl Alcohol, Benzyl Salicylate. May Contain / Peut Contenir (+/-): Red 30 Lake (Ci 73360), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891), Mica.
75868962;NYX Professional Makeup Soft Matte Lip Cream - Antwerp;Isohexadecane, Pentaerythrityl Tetraisostearate, Disteardimonium Hectorite, Dimethicone, Beeswax/Cera Alba/Cire d⫪Abeille, Glyceryl Behenate/Eicosadioate, Talc, Cyclopentasiloxane, Propylene Carbonate, Silica, Methyl Methacrylate Crosspolymer, Aluminum Starch Octenylsuccinate, Dimethicone Crosspolymer, Rosin/Colophonium/Colophane, Barium Sulfate (CI 77120), Phenoxyethanol, Flavor/Aroma, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Hexyl Cinnamal, Hydroxycitronellal. MAY CONTAIN / PEUT CONTENIR (+/-): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Yellow 6 Lake (CI 15985), Yellow 5 Lake (CI 19140), Red 6 (CI 15850), Red 7 (CI 15850), Red 28 Lake (CI 45410).
62462424;NYX Professional Makeup Strictly Vinyl Eyeliner;Water/Aqua/Eau, Glycerin, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Propylene Glycol, Styrene/Acrylates Copolymer, Argilla / Magnesium Aluminum Silicate, Bis-PEG/PPG-16/16 PEG/PPG-16/16, Dimethicone, Acrylates/Octylacrylamide Copolymer, Sodium Laureth Sulfate, Aminomethyl Propanol, Disodium EDTA, Caprylic/Capric Triglyceride, Caprylyl Glycol, Tetrasodium EDTA, Xanthan Gum, Ethylhexylglycerin, Polyurethane-35, Butylene Glycol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Potassium Sorbate, Sodium Dehydroacetate, Phenoxyethanol. May Contain (+/-): Carmine (CI 75470), Ultramarines (CI 77007), Chromium Oxide Greens (CI 77288), Iron Oxides (CI 77491, CI 77492, CI 77499), Ferric Ammonium Ferrocyanide (CI 77510), Titanium Dioxide (CI 77891). <6091>
72667413;Colorbar Melted Crystal 24Hrs Eyeliner;Titanium Dioxide, Black 2, Mica, Water, Ammonium Acrylates Copolymer, Alcohol Denat, Calcium Sodium Borosilicate, Silica, Butylene Glycol, Vp/va Copolymer, Poloxamer 407, Myristyl Lactate, Disodium Deceth-6 Sulfosuccinate, Ethylhexylglycerin, Laureth-30, 1, 2-hexanediol, Caprylyl Glycol, Hectorite, Citric Acid, Simethicone, Steareth-4, Bht, Steareth-20, Tocopherol, Phenoxyethanol
86404978;NYX Professional Makeup Gotcha Covered Concealer Pencil;Ricinus Communis (Castor) Seed Oil, Ethylhexyl Palmitate, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire de Candelilla, Nylon-12, Octyldodecanol, Bis-Diglyceryl Polyacyladipate-2, Copernicia Cerifera (Carnauba) Wax/Copernicia Cerifera Cera/Cire de Carnauba, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Cetyl Alcohol, Beeswax/Cera Alba/Cire d'Abeille, Talc, Calcium Sulfate, Montmorillonite, Tocopherol, Ascorbyl Palmitate, Wheat Germ Glycerides. MAY CONTAIN / PEUT CONTENIR (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499). 
51812157;Wet n Wild Come Correct Celebrity Concealer - Medium Beige;Tridecyl Trimellitate, Hydrogenated Polyisobutene, Pentaerythrityl Tetraisostearate, Bis-Diglyceryl Polyacyladipate-2, Ozokerite, Caprylic/Capric Triglyceride, Diisostearyl Malate, Microcrystalline Wax/Cire microcristalline, Polyethylene, Beeswax/Cire d'abeille, Mineral Oil/Huile min��rale, Phenoxyethanol, Menthol, Sorbic Acid, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Euterpe Oleracea Fruit Oil, Tocopherol, [+/- (MAY CONTAIN/PEUT CONTENIR): Blue 1 Lake/CI 42090, Carmine/CI 75470, Iron Oxides/CI 77491, CI 77492, CI 77499, Mica, Red 21/CI 45380, Red 27/CI 45410, Red 28 Lake/CI 45410, Red 30 Lake/CI 73360, Red 6/CI 15850, Red 7 Lake/CI 15850, Titanium Dioxide/CI 77891, Yellow 6 Lake/CI 15985]
17821382;Wet n Wild To Reflect Shimmer Palette;Octyldodecyl Stearoyl Stearate, Dimethicone, Zea Mays (Corn) Starch, Nylon-12, Caprylic/Capric Triglyceride, Dimethicone/Vinyl Dimethicone Crosspolymer, Polysorbate 20, C10-30 Cholesterol/Lanosterol Esters, Trimethylsiloxysilicate, Magnesium Aluminum Silicate, Sorbitan Stearate, Polyacrylamide, Chlorphenesin, C13-14 Isoparaffin, Tocopheryl Acetate, Silica, Laureth-7, Methylisothiazolinone, Synthetic Fluorphlogopite, [+/- (MAY CONTAIN/PEUT CONTENIR): Carmine/CI 75470, Iron Oxides/CI 77491, CI 77492, CI 77499, Mica, Red 40 Lake/CI 16035, Titanium Dioxide/CI 77891, Ultramarines/CI 77007]
34021016;The Face Shop Ink Graffi Liquid Liner - 01 Full Black;Purified water, ammonium styrene / acrylate copolymer, butylene glycol, carbon black, ethanol
25102843;Buy Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color - Tangerine Fluff;PVP/Hexadecene copolymer, Nylon powder, Cyclomethicon
85640614;The Face Shop CC Concealing Cushion;Purified water, cyclopentasiloxane, butylene glycol, dicaprylyl carbonate, dimethicone and titanium dioxidetrimethylsiloxysilicate, and pentyleneglycol
10512797;Wet n Wild MegaSlicks Lip Gloss - Sweet Glaze;Polyisobutene, Polybutene, Isoeicosane, Mineral Oil/Huile min��rale, Cetyl Ethylhexanoate, Phenoxyethanol, Tocopheryl Acetate, Dioleyl Tocopheryl Methylsilanol, Ethylhexylglycerin, Glycine Soja (Soybean) Oil, Aloe Barbadensis Leaf Extract, Oleyl Alcohol.
61773176;The Face Shop CC Concealing Cushion V103;Purified water, cyclopentasiloxane, butylene glycol, dicaprylyl carbonate, dimethicone and titanium dioxidetrimethylsiloxysilicate, and pentyleneglycol
56743968;NYX Professional Makeup Honey Dew Me Up Primer;<span>Water/Aqua/Eau, Glycerin, Alcohol Denat., Betaine, Honey Extract/Mel Extract/Extrait de Miel, Collagen Extract,  Portulaca Oleracea Extract,  Hyaluronic Acid,  Bifida Ferment Lysate, Nelumbo Nucifera Flower Extract,  Jasminum Officinale (Jasmine) Flower Extract,  Lavandula Angustifolia (Lavender) Flower Extract,  Rosa Centifolia Flower Extract,  Lilium Tigrinum Flower/Leaf/Stem Extract,  Iris Ensata Extract,  Hibiscus Sabdariffa Flower Extract,  Anthemis Nobilis Flower Extract,  Allantoin,  Caprylyl Glycol, PEG-40 Hydrogenated Castor Oil, Carbomer, Sodium Polyacrylate, 1,2-Hexanediol, Phenoxyethanol, Potassium Hydroxide,  Panthenol, Benzophenone-5, Disodium EDTA, Citronellol, Limonene, Geraniol,   Fragrance/Parfum, Gold (CI 77480). MAY CONTAIN / PEUT CONTENIR (+/-): Yellow 6 Lake (CI 15985), Yellow 5 Lake (CI 19140).</span>
18446862;NYX Professional Makeup Soft Matte Lip Cream - Transylvania;Isohexadecane, Pentaerythrityl Tetraisostearate, Disteardimonium Hectorite, Dimethicone, Beeswax/Cera Alba/Cire Abeille, Glyceryl Behenate/Eicosadioate, Talc, Cyclopentasiloxane, Propylene Carbonate, Silica, Methyl Methacrylate Crosspolymer, Aluminum Starch Octenylsuccinate, Dimethicone Crosspolymer, Rosin/Colophonium/Colophane, Barium Sulfate (CI 77120), Phenoxyethanol, Flavor/Aroma, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Hexyl Cinnamal, Hydroxycitronellal. MAY CONTAIN / PEUT CONTENIR (+/-): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Yellow 6 Lake (CI 15985), Yellow 5 Lake (CI 19140), Red 6 (CI 15850), Red 7 (CI 15850), Red 28 Lake (CI 45410).
35183339;NYX Professional Makeup Slim Eye Pencil;Sorbitan Isostearate, Isocetyl Stearate, Polyethylene, Phenyl Trimethicone, Candelilla Cera, Butyrospermum Parkii Butter Unsaponifiables, Cera Alba, Simmondsia Chinensis Oil, Caprylic/Capric Triglyceride, Nylon-12, Octyldodecanol, Polyglyceryl-2-Diisostearate, Silica, Cera Carnauba, Hydrogenated Coconut Oil, Tocopherol, PVP/Hexadecene Copolymer, Stearakonium Hectorite, Stearyl Glycyrrhetinate, Propylparaben, Propylene Carbonate.
